title,company,location,skills,description,experience,text,cluster
Python Developer,Demo Tech,Bengaluru,"Python, Django, Flask, SQL, Git","Build Python applications, REST APIs and data-processing services.",1-3 years,"python developer python, django, flask, sql, git build python applications, rest apis and data-processing services. 1-3 years",1
Data Scientist,Demo Analytics,Bengaluru,"Python, Machine Learning, Pandas, NumPy, Scikit-learn, SQL","Develop machine learning models, analyze data and evaluate predictive performance.",1-3 years,"data scientist python, machine learning, pandas, numpy, scikit-learn, sql develop machine learning models, analyze data and evaluate predictive performance. 1-3 years",1
Data Analyst,Demo Insights,Bengaluru,"SQL, Excel, Python, Power BI, Statistics","Analyze business data, create dashboards and communicate insights.",0-2 years,"data analyst sql, excel, python, power bi, statistics analyze business data, create dashboards and communicate insights. 0-2 years",1
Java Developer,Demo Software,Hyderabad,"Java, Spring Boot, SQL, REST API, Git",Develop enterprise Java applications and backend services.,1-3 years,"java developer java, spring boot, sql, rest api, git develop enterprise java applications and backend services. 1-3 years",1
Web Developer,Demo Web,Bengaluru,"HTML, CSS, JavaScript, React, Git",Create responsive web applications and maintain frontend components.,0-2 years,"web developer html, css, javascript, react, git create responsive web applications and maintain frontend components. 0-2 years",0
DevOps Engineer,Demo Cloud,Pune,"Linux, Docker, Kubernetes, AWS, CI/CD, Git",Automate deployment pipelines and maintain cloud infrastructure.,2-4 years,"devops engineer linux, docker, kubernetes, aws, ci/cd, git automate deployment pipelines and maintain cloud infrastructure. 2-4 years",0
HR Executive,Demo People,Bengaluru,"Recruitment, HR, Communication, Excel","Support recruitment, employee coordination and HR operations.",0-2 years,"hr executive recruitment, hr, communication, excel support recruitment, employee coordination and hr operations. 0-2 years",3
Mechanical Engineer,Demo Engineering,Chennai,"AutoCAD, SolidWorks, CAD, Manufacturing",Design mechanical components and support manufacturing processes.,1-3 years,"mechanical engineer autocad, solidworks, cad, manufacturing design mechanical components and support manufacturing processes. 1-3 years",2
Civil Engineer,Demo Infra,Bengaluru,"AutoCAD, Civil Engineering, Construction, Project Management","Support construction planning, drawings and site execution.",1-3 years,"civil engineer autocad, civil engineering, construction, project management support construction planning, drawings and site execution. 1-3 years",2
Marketing Specialist,Demo Brand,Bengaluru,"Marketing, SEO, Social Media, Analytics, Content",Plan digital campaigns and measure marketing performance.,0-3 years,"marketing specialist marketing, seo, social media, analytics, content plan digital campaigns and measure marketing performance. 0-3 years",4
